,cluster_id,size,avg_intra_cluster_pairwise_distance,avg_intra_cluster_variance,avg_silhouette_score,avg_inter_centroid_distance,model,task
1100,F.Hispanic.Structured.Third Person,200,0.43401191124732263,0.3062264954936636,-0.03643995409831961,0.3164114920730073,Llama-3.1-8B-Instruct,bio
1101,F.Middle-Eastern.Explicit.Direct,200,0.45997270049955113,0.3252019508177533,0.0011298770745840519,0.3343066107054586,Llama-3.1-8B-Instruct,bio
1102,F.Middle-Eastern.Explicit.Interview,159,0.45083472527607993,0.3211747336196278,-0.03185230659070432,0.30149847513052036,Llama-3.1-8B-Instruct,bio
1103,F.Middle-Eastern.Explicit.Third Person,200,0.4831683724184677,0.34160067466766053,-0.04662390524970433,0.316227604638878,Llama-3.1-8B-Instruct,bio
1104,F.Middle-Eastern.Name.Direct,200,0.4252586378563938,0.3003331786321192,-0.01721667139267878,0.28139375978569275,Llama-3.1-8B-Instruct,bio
1105,F.Middle-Eastern.Name.Interview,174,0.5231019622758138,0.37170194069834933,-0.0874995051706457,0.2749832275935802,Llama-3.1-8B-Instruct,bio
1106,F.Middle-Eastern.Name.Third Person,200,0.4612691994531821,0.32523712040742736,-0.0675985365720631,0.2596303286446605,Llama-3.1-8B-Instruct,bio
1107,F.Middle-Eastern.Structured.Direct,200,0.4437085675516349,0.3132056401177006,0.018145273414109597,0.308505212019076,Llama-3.1-8B-Instruct,bio
1108,F.Middle-Eastern.Structured.Interview,175,0.4757873640765984,0.34092112464084573,-0.05930390527766006,0.29034093329565697,Llama-3.1-8B-Instruct,bio
1109,F.Middle-Eastern.Structured.Third Person,200,0.46684543560349145,0.3310305131915697,-0.04473137304254145,0.29869556326403024,Llama-3.1-8B-Instruct,bio
1110,F.White.Explicit.Direct,200,0.46158758030742925,0.32605751895894947,-0.051717817604356016,0.300824018562548,Llama-3.1-8B-Instruct,bio
1111,F.White.Explicit.Interview,170,0.5002006564560915,0.3528061373972082,-0.09496454766907217,0.26238977450899637,Llama-3.1-8B-Instruct,bio
1112,F.White.Explicit.Third Person,200,0.42607083030035,0.299573938055171,-0.0451550396221484,0.3080709539148396,Llama-3.1-8B-Instruct,bio
1113,F.White.Name.Direct,200,0.43379216770300616,0.30715534105644,-0.030982435720209166,0.2926685752501401,Llama-3.1-8B-Instruct,bio
1114,F.White.Name.Interview,180,0.5187369635292246,0.3696907241500604,-0.07718738368107211,0.28495174041345767,Llama-3.1-8B-Instruct,bio
1115,F.White.Name.Third Person,200,0.4294890117564762,0.3033860894261777,-0.020942237085517266,0.2953525371975684,Llama-3.1-8B-Instruct,bio
1116,F.White.Structured.Direct,200,0.39575594614824267,0.27803833732622446,-0.009560538595906882,0.3127197937473456,Llama-3.1-8B-Instruct,bio
