Role Adoption,Demographic Priming,gender,race,prompt_version,model,task,% English,% Non-\nEnglish,is Hispanic
Direct,Explicit,M,Black,v1,gemma-3-27b-it,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Black,v1,gemma-3-27b-it,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Black,v2,Llama-3.1-8B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Black,v2,Llama-3.1-8B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Black,v2,Llama-3.3-70B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Black,v2,Llama-3.3-70B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Black,v2,OLMo-2-0325-32B-Instruct,Bio,0.98,0.020000000000000018,Non-Hispanic
Direct,Explicit,M,Black,v2,OLMo-2-0325-32B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Black,v2,OLMo-2-1124-7B-Instruct,Bio,0.98,0.020000000000000018,Non-Hispanic
Direct,Explicit,M,Black,v2,OLMo-2-1124-7B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Black,v2,gemma-3-27b-it,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Black,v2,gemma-3-27b-it,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Hispanic,v1,Llama-3.1-8B-Instruct,Bio,0.67,0.32999999999999996,Hispanic
Direct,Explicit,M,Hispanic,v1,Llama-3.1-8B-Instruct,SD,1.0,0.0,Hispanic
Direct,Explicit,M,Hispanic,v1,Llama-3.3-70B-Instruct,Bio,0.76,0.24,Hispanic
Direct,Explicit,M,Hispanic,v1,Llama-3.3-70B-Instruct,SD,1.0,0.0,Hispanic
Direct,Explicit,M,Hispanic,v1,OLMo-2-0325-32B-Instruct,Bio,0.82,0.18000000000000005,Hispanic
Direct,Explicit,M,Hispanic,v1,OLMo-2-0325-32B-Instruct,SD,0.21,0.79,Hispanic
Direct,Explicit,M,Hispanic,v1,OLMo-2-1124-7B-Instruct,Bio,0.54,0.45999999999999996,Hispanic
Direct,Explicit,M,Hispanic,v1,OLMo-2-1124-7B-Instruct,SD,0.98,0.020000000000000018,Hispanic
Direct,Explicit,M,Hispanic,v1,gemma-3-27b-it,Bio,0.95,0.050000000000000044,Hispanic
Direct,Explicit,M,Hispanic,v1,gemma-3-27b-it,SD,0.03,0.97,Hispanic
Direct,Explicit,M,Hispanic,v2,Llama-3.1-8B-Instruct,Bio,0.56,0.43999999999999995,Hispanic
Direct,Explicit,M,Hispanic,v2,Llama-3.1-8B-Instruct,SD,0.76,0.24,Hispanic
Direct,Explicit,M,Hispanic,v2,Llama-3.3-70B-Instruct,Bio,0.0,1.0,Hispanic
Direct,Explicit,M,Hispanic,v2,Llama-3.3-70B-Instruct,SD,0.2,0.8,Hispanic
Direct,Explicit,M,Hispanic,v2,OLMo-2-0325-32B-Instruct,Bio,0.23,0.77,Hispanic
